dataset,method,measure,discovery
EWAS1,IHW,sd.b,237
EWAS1,IHW,sd.m,257
EWAS1,IHW,mean,213
EWAS1,IHW,mad,193
EWAS1,IHW,dip,219
EWAS1,IHW,precision,261
EWAS1,IHW,icc.m,124
EWAS1,IHW,icc.b,134
EWAS1,IHW,direction,133
EWAS1,IHW,refgene.pos,123
EWAS1,IHW,cpg.loc,121
EWAS1,IHW,chr,127
EWAS1,IHW,dhs,119
EWAS1,IHW,probe.type,145
EWAS1,CAMT,sd.b,69
EWAS1,CAMT,sd.m,95
EWAS1,CAMT,mean,53
EWAS1,CAMT,mad,68
EWAS1,CAMT,dip,241
EWAS1,CAMT,precision,91
EWAS1,CAMT,icc.m,35
EWAS1,CAMT,icc.b,35
EWAS1,CAMT,direction,27
EWAS1,CAMT,refgene.pos,31
EWAS1,CAMT,cpg.loc,38
EWAS1,CAMT,chr,30
EWAS1,CAMT,dhs,31
EWAS1,CAMT,probe.type,31
EWAS1,FDRreg,sd.b,171
EWAS1,FDRreg,sd.m,168
EWAS1,FDRreg,mean,164
EWAS1,FDRreg,mad,165
EWAS1,FDRreg,dip,167
EWAS1,FDRreg,precision,169
EWAS1,FDRreg,icc.m,173
EWAS1,FDRreg,icc.b,172
EWAS1,FDRreg,direction,162
EWAS1,FDRreg,refgene.pos,162
EWAS1,FDRreg,cpg.loc,162
EWAS1,FDRreg,chr,162
EWAS1,FDRreg,dhs,162
EWAS1,FDRreg,probe.type,162
EWAS1,AdaPT,sd.b,243
EWAS1,AdaPT,sd.m,223
EWAS1,AdaPT,mean,245
EWAS1,AdaPT,mad,107
EWAS1,AdaPT,dip,173
EWAS1,AdaPT,precision,188
EWAS1,AdaPT,icc.m,28
EWAS1,AdaPT,icc.b,28
EWAS1,AdaPT,direction,0
EWAS1,AdaPT,refgene.pos,28
EWAS1,AdaPT,cpg.loc,29
EWAS1,AdaPT,chr,0
EWAS1,AdaPT,dhs,28
EWAS1,AdaPT,probe.type,28
EWAS1,BL,sd.b,167
EWAS1,BL,sd.m,163
EWAS1,BL,mean,159
EWAS1,BL,mad,162
EWAS1,BL,dip,158
EWAS1,BL,precision,166
EWAS1,BL,icc.m,152
EWAS1,BL,icc.b,150
EWAS1,BL,direction,150
EWAS1,BL,refgene.pos,155
EWAS1,BL,cpg.loc,152
EWAS1,BL,chr,154
EWAS1,BL,dhs,153
EWAS1,BL,probe.type,155
EWAS2,IHW,sd.b,26
EWAS2,IHW,sd.m,7
EWAS2,IHW,mean,28
EWAS2,IHW,mad,51
EWAS2,IHW,dip,4
EWAS2,IHW,precision,31
EWAS2,IHW,direction,4
EWAS2,IHW,refgene.pos,4
EWAS2,IHW,cpg.loc,4
EWAS2,IHW,chr,1
EWAS2,IHW,dhs,4
EWAS2,IHW,probe.type,4
EWAS2,CAMT,sd.b,41
EWAS2,CAMT,sd.m,7
EWAS2,CAMT,mean,41
EWAS2,CAMT,mad,49
EWAS2,CAMT,dip,4
EWAS2,CAMT,precision,14
EWAS2,CAMT,direction,3
EWAS2,CAMT,refgene.pos,1
EWAS2,CAMT,cpg.loc,6
EWAS2,CAMT,chr,2
EWAS2,CAMT,dhs,4
EWAS2,CAMT,probe.type,4
EWAS2,FDRreg,sd.b,2
EWAS2,FDRreg,sd.m,2
EWAS2,FDRreg,mean,2
EWAS2,FDRreg,mad,2
EWAS2,FDRreg,dip,2
EWAS2,FDRreg,precision,2
EWAS2,FDRreg,direction,2
EWAS2,FDRreg,refgene.pos,2
EWAS2,FDRreg,cpg.loc,2
EWAS2,FDRreg,chr,2
EWAS2,FDRreg,dhs,2
EWAS2,FDRreg,probe.type,2
EWAS2,AdaPT,sd.b,0
EWAS2,AdaPT,sd.m,0
EWAS2,AdaPT,mean,63
EWAS2,AdaPT,mad,0
EWAS2,AdaPT,dip,0
EWAS2,AdaPT,precision,0
EWAS2,AdaPT,direction,0
EWAS2,AdaPT,refgene.pos,0
EWAS2,AdaPT,cpg.loc,0
EWAS2,AdaPT,chr,0
EWAS2,AdaPT,dhs,0
EWAS2,AdaPT,probe.type,0
EWAS2,BL,sd.b,4
EWAS2,BL,sd.m,4
EWAS2,BL,mean,4
EWAS2,BL,mad,4
EWAS2,BL,dip,4
EWAS2,BL,precision,4
EWAS2,BL,direction,4
EWAS2,BL,refgene.pos,4
EWAS2,BL,cpg.loc,4
EWAS2,BL,chr,4
EWAS2,BL,dhs,4
EWAS2,BL,probe.type,4
EWAS3,IHW,sd.b,0
EWAS3,IHW,sd.m,0
EWAS3,IHW,mean,0
EWAS3,IHW,mad,0
EWAS3,IHW,dip,0
EWAS3,IHW,precision,0
EWAS3,IHW,direction,0
EWAS3,IHW,refgene.pos,0
EWAS3,IHW,cpg.loc,0
EWAS3,IHW,chr,0
EWAS3,IHW,dhs,0
EWAS3,IHW,probe.type,0
EWAS3,CAMT,sd.b,3
EWAS3,CAMT,sd.m,3
EWAS3,CAMT,mean,0
EWAS3,CAMT,mad,6
EWAS3,CAMT,dip,0
EWAS3,CAMT,precision,0
EWAS3,CAMT,direction,0
EWAS3,CAMT,refgene.pos,0
EWAS3,CAMT,cpg.loc,0
EWAS3,CAMT,chr,0
EWAS3,CAMT,dhs,0
EWAS3,CAMT,probe.type,0
EWAS3,FDRreg,sd.b,0
EWAS3,FDRreg,sd.m,0
EWAS3,FDRreg,mean,0
EWAS3,FDRreg,mad,0
EWAS3,FDRreg,dip,0
EWAS3,FDRreg,precision,0
EWAS3,FDRreg,direction,0
EWAS3,FDRreg,refgene.pos,0
EWAS3,FDRreg,cpg.loc,0
EWAS3,FDRreg,chr,0
EWAS3,FDRreg,dhs,0
EWAS3,FDRreg,probe.type,0
EWAS3,AdaPT,sd.b,0
