dataset,measure,stat.o,p.value
EWAS1,chr,3.028666283,0.236
EWAS1,cpg.loc,1.447034833,0.712
EWAS1,dhs,1.40642045,0.682
EWAS1,dip,41.54859153,0.001
EWAS1,direction,16.74984097,0.001
EWAS1,icc.b,4.209302199,0.276
EWAS1,icc.m,2.336446183,0.82
EWAS1,mad,118.0039676,0.001
EWAS1,mean,118.559494,0.001
EWAS1,precision,101.696564,0.001
EWAS1,probe.type,2.123854326,0.422
EWAS1,refgene.pos,1.3027342,0.768
EWAS1,sd.b,119.6064919,0.001
EWAS1,sd.m,50.60822262,0.001
EWAS2,chr,3.420325329,0.187
EWAS2,cpg.loc,2.740222003,0.273
EWAS2,dhs,1.159929957,0.721
EWAS2,dip,3.150719747,0.522
EWAS2,direction,1.756835244,0.526
EWAS2,mad,6.69350507,0.033
EWAS2,mean,2.835288814,0.639
EWAS2,precision,9.195009098,0.006
EWAS2,probe.type,2.373315758,0.314
EWAS2,refgene.pos,1.574109706,0.664
EWAS2,sd.b,8.627065816,0.006
EWAS2,sd.m,7.162638042,0.021
EWAS3,chr,1.415320334,0.715
EWAS3,cpg.loc,0.602545195,0.973
EWAS3,dhs,3.608572591,0.111
EWAS3,dip,3.311816388,0.517
EWAS3,direction,1.752308018,0.545
EWAS3,mad,6.237557724,0.062
EWAS3,mean,7.947618723,0.012
EWAS3,precision,1.686219862,0.955
EWAS3,probe.type,2.358488863,0.312
EWAS3,refgene.pos,1.158712826,0.817
EWAS3,sd.b,4.806267408,0.167
EWAS3,sd.m,3.703868927,0.41
EWAS4,chr,0.730600304,0.958
EWAS4,cpg.loc,14.30824399,0.001
EWAS4,dhs,5.475994847,0.018
EWAS4,dip,63.99704771,0.001
EWAS4,direction,8.412200717,0.002
EWAS4,mad,10.89933069,0.004
EWAS4,mean,15.40254621,0.001
EWAS4,precision,54.30279228,0.001
EWAS4,probe.type,49.4208316,0.001
EWAS4,refgene.pos,14.31842679,0.001
EWAS4,sd.b,43.73074028,0.001
EWAS4,sd.m,39.81951585,0.001
EWAS5,chr,2.862950528,0.342
EWAS5,cpg.loc,6.653450972,0.013
EWAS5,dhs,1.052071045,0.751
EWAS5,dip,4.749316827,0.151
EWAS5,direction,2.960249304,0.17
EWAS5,mad,17.83909354,0.001
EWAS5,mean,16.26566182,0.001
EWAS5,precision,11.72572982,0.001
EWAS5,probe.type,3.277816806,0.139
EWAS5,refgene.pos,3.513533214,0.143
EWAS5,sd.b,21.91608156,0.001
EWAS5,sd.m,5.57408767,0.101
EWAS6,chr,3.009872637,0.235
EWAS6,cpg.loc,1.207473377,0.8
EWAS6,dhs,1.000453334,0.82
EWAS6,dip,1.846829396,0.928
EWAS6,direction,1.410888947,0.682
EWAS6,mad,3.340425437,0.477
EWAS6,mean,2.48725673,0.776
EWAS6,precision,2.662493096,0.687
EWAS6,probe.type,2.001635115,0.449
EWAS6,refgene.pos,2.858222009,0.282
EWAS6,sd.b,2.765604442,0.699
EWAS6,sd.m,3.76884878,0.375
EWAS7,chr,0.672815126,0.959
EWAS7,cpg.loc,4.155451397,0.092
EWAS7,dhs,3.252980283,0.124
EWAS7,dip,4.387015997,0.233
EWAS7,direction,4.145558093,0.041
EWAS7,mad,6.860984019,0.038
EWAS7,mean,5.035139359,0.156
EWAS7,precision,6.881477444,0.034
EWAS7,probe.type,0.723639354,0.931
