"","x"
"1","cg16867657"
"2","cg23606718"
"3","cg26885220"
"4","cg06639320"
"5","cg07642566"
"6","cg14361627"
"7","cg24724428"
"8","cg19230755"
"9","cg16717713"
"10","cg18257814"
"11","cg06493994"
"12","cg07553761"
"13","cg15979173"
"14","cg08160331"
"15","cg13029847"
"16","cg21927946"
"17","cg21188820"
"18","cg02650266"
"19","cg25410668"
"20","cg08097417"
"21","cg11970349"
"22","cg07060551"
"23","cg07544187"
"24","cg18898125"
"25","cg24466241"
"26","cg10806820"
"27","cg15962547"
"28","cg03646916"
"29","cg22454769"
"30","cg16969368"
"31","cg18473521"
"32","cg04103761"
"33","cg18279094"
"34","cg10151367"
"35","cg26872137"
"36","cg26921969"
"37","cg00094518"
"38","cg09401099"
"39","cg01908954"
"40","cg00748589"
"41","cg01003961"
"42","cg21801378"
"43","cg04940570"
"44","cg21572722"
"45","cg21200408"
"46","cg06784991"
"47","cg26290632"
"48","cg14674720"
"49","cg25778262"
"50","cg00059225"
"51","cg25236230"
"52","cg02479575"
"53","cg10172783"
"54","cg20491914"
"55","cg01422881"
"56","cg15448975"
"57","cg15789607"
"58","cg26113809"
"59","cg11413039"
"60","cg00008033"
"61","cg12225226"
"62","cg13954457"
"63","cg06010588"
"64","cg15393490"
"65","cg26162616"
"66","cg07806886"
"67","cg10150592"
"68","cg20442599"
"69","cg11358945"
"70","cg17783401"
"71","cg05024939"
"72","cg26805749"
"73","cg13636189"
"74","cg09232937"
"75","cg19855470"
"76","cg12597389"
"77","cg15912800"
"78","cg01582980"
"79","cg23328622"
"80","cg00058879"
"81","cg03902729"
"82","cg00862117"
"83","cg08169949"
"84","cg07584066"
"85","cg07955995"
"86","cg05093315"
"87","cg06737494"
"88","cg21995800"
"89","cg19922137"
"90","cg26161329"
"91","cg21200656"
"92","cg15341124"
"93","cg23413924"
"94","cg22300282"
"95","cg12757011"
"96","cg18247055"
"97","cg25124276"
"98","cg04427498"
"99","cg18322569"
"100","cg18143296"
"101","cg22358580"
"102","cg19792599"
"103","cg06942701"
"104","cg21229268"
"105","cg11375458"
"106","cg23479922"
"107","cg15270654"
"108","cg03638795"
"109","cg24366557"
"110","cg06782035"
"111","cg18961681"
"112","cg21567504"
"113","cg04528819"
"114","cg07739179"
"115","cg12610471"
"116","cg18987410"
"117","cg05991454"
"118","cg15060599"
"119","cg24673101"
"120","cg04604946"
"121","cg12878812"
"122","cg02287710"
"123","cg24436715"
"124","cg10192893"
"125","cg06027807"
"126","cg07963234"
"127","cg07936950"
"128","cg14459130"
"129","cg04265051"
"130","cg06010459"
"131","cg12377139"
"132","ch.20.1295406F"
"133","cg02662828"
"134","cg05863502"
"135","cg06458239"
"136","cg05406635"
"137","cg03705912"
"138","cg10320659"
"139","cg01770755"
"140","cg06570224"
"141","cg19802138"
"142","cg23500537"
"143","cg11071401"
"144","cg21725716"
"145","cg14168923"
"146","cg26354128"
"147","cg16961816"
"148","cg09499629"
"149","cg00384539"
"150","cg09754845"
"151","cg26156448"
"152","cg16933388"
"153","cg26946259"
"154","cg15449956"
"155","cg15277906"
"156","cg27094244"
"157","cg27649073"
"158","cg15091323"
"159","cg07580038"
"160","cg04044664"
"161","cg13649056"
"162","cg05200037"
"163","cg18077971"
"164","cg00204501"
"165","cg23026864"
"166","cg10092878"
"167","cg12638731"
"168","cg14425564"
"169","cg17110586"
"170","cg02402091"
"171","cg04875128"
"172","cg01294808"
"173","cg12189835"
"174","cg12451153"
"175","cg19389884"
"176","cg04939673"
"177","cg08810238"
"178","cg24150153"
"179","cg15728256"
"180","cg07158747"
"181","cg05835105"
"182","cg06619066"
"183","cg23605843"
"184","cg11983867"
"185","cg12595013"
"186","cg15168727"
"187","cg24079702"
"188","cg24955845"
"189","cg12392473"
"190","cg12052661"
"191","cg24938830"
"192","cg11705975"
"193","cg08039301"
"194","cg02446647"
"195","cg06335143"
"196","cg19211800"
"197","cg25453381"
"198","cg04079139"
"199","cg04969688"
"200","cg02352240"
"201","cg12685846"
"202","cg18445088"
"203","cg23239109"
"204","cg03350900"
"205","cg23016129"
"206","cg20192747"
"207","cg25363807"
"208","cg09017434"
"209","cg03259243"
"210","cg19965221"
"211","cg15022400"
"212","cg18691434"
"213","cg23995914"
"214","cg15618978"
"215","cg25235766"
"216","cg10721149"
"217","cg07336350"
"218","cg06291867"
"219","cg03725309"
"220","cg14016177"
"221","cg15466862"
"222","cg21684012"
"223","cg14359680"
"224","cg03323696"
"225","cg06215569"
"226","cg00048759"
"227","cg27401724"
"228","cg06204735"
"229","cg13327545"
"230","cg05214235"
"231","cg16150752"
"232","cg03301200"
"233","cg14934413"
"234","cg04415176"
"235","cg22995692"
"236","cg03262554"
"237","cg02383785"
"238","cg03593550"
"239","cg04779720"
"240","cg18064714"
"241","cg00503383"
"242","cg16361302"
"243","cg21841963"
"244","cg06829686"
"245","cg26307359"
"246","cg18770350"
"247","cg06965409"
"248","cg02106850"
"249","cg26195356"
"250","cg18184411"
"251","cg09515953"
"252","cg19236454"
"253","cg00792966"
"254","cg08120263"
"255","cg02694017"
"256","cg11831981"
"257","cg13791254"
"258","cg14972743"
"259","cg04104132"
"260","cg14345012"
"261","cg27106513"
"262","cg24040346"
"263","cg26890189"
"264","cg27320127"
"265","cg11229185"
"266","cg04379738"
"267","cg10836101"
"268","cg05213896"
"269","cg06966811"
"270","cg13434396"
"271","cg10729426"
"272","cg02681442"
"273","cg01867395"
"274","cg10266211"
"275","cg15843567"
"276","cg22303418"
"277","cg13210467"
"278","cg01464052"
"279","cg16339238"
"280","cg20591472"
"281","cg27076669"
"282","cg13414679"
"283","cg17576288"
"284","cg01097384"
"285","cg10530883"
"286","cg17445145"
"287","cg22851420"
"288","cg12920180"
"289","cg02571816"
"290","cg16541931"
"291","cg16705627"
"292","cg16373229"
"293","cg03614193"
"294","cg12400336"
"295","cg05385164"
"296","cg18249173"
"297","cg12127472"
"298","cg04976151"
"299","cg25026529"
"300","cg12296772"
"301","cg18235734"
"302","cg18310639"
"303","cg03200166"
"304","cg21186299"
"305","cg18343437"
"306","cg03968755"
"307","cg15106134"
"308","cg00495775"
"309","cg05425754"
"310","cg06655796"
"311","cg24136205"
"312","cg07636295"
"313","cg18301891"
"314","cg05942128"
"315","cg05926722"
"316","cg13080716"
"317","cg07547549"
"318","cg08992872"
"319","cg19056004"
"320","cg00664416"
"321","cg12781700"
"322","cg14836018"
"323","cg05396212"
"324","cg07211259"
"325","cg13848598"
"326","cg12877723"
"327","cg22605415"
"328","cg01302656"
"329","cg19560758"
"330","cg02487453"
"331","cg19598567"
"332","cg02699218"
"333","cg07150445"
"334","cg00336320"
"335","cg02036261"
"336","cg18358723"
"337","cg10056132"
"338","cg17802949"
"339","cg17916490"
"340","cg00474657"
"341","cg17555373"
"342","cg18539122"
"343","cg26268277"
"344","cg00686880"
"345","cg02018902"
"346","cg04047221"
"347","cg05942459"
"348","cg08231189"
"349","cg21800232"
"350","cg12765028"
"351","cg07441518"
"352","cg19809499"
"353","cg05347965"
"354","cg19464804"
"355","cg20755170"
"356","cg27314569"
"357","cg26990587"
"358","cg08739433"
"359","cg22285878"
"360","cg05412028"
"361","cg16477091"
"362","cg19283806"
"363","cg19578183"
"364","cg01138448"
"365","cg11831238"
"366","cg20491838"
"367","cg13518390"
"368","cg25316339"
"369","cg26158959"
"370","cg20232986"
"371","cg01234420"
"372","cg20809378"
"373","cg26005082"
"374","cg26695123"
"375","cg21483700"
"376","cg17368760"
"377","cg22489321"
"378","cg26130488"
"379","cg07152755"
"380","cg01283246"
"381","cg26158279"
"382","cg23124451"
"383","cg01287132"
"384","cg04560225"
"385","cg19766441"
"386","cg10630240"
"387","cg02245004"
"388","cg27252696"
"389","cg17173767"
"390","cg23244289"
"391","cg24923694"
"392","cg02745847"
"393","cg24484352"
"394","cg25678088"
"395","cg11719362"
"396","cg17605021"
"397","cg00876127"
"398","cg18660898"
"399","cg26330518"
"400","cg20697025"
"401","cg00848780"
"402","cg03450948"
"403","cg21195376"
"404","cg15593298"
"405","cg25428494"
"406","cg08871244"
"407","cg08732352"
"408","cg16963144"
"409","cg22827210"
"410","cg12534424"
"411","cg13080565"
"412","cg01503065"
"413","cg05758434"
"414","cg09688588"
"415","cg07149609"
"416","cg00910419"
"417","cg11176990"
"418","cg16909962"
"419","cg10345404"
"420","cg10040836"
"421","cg19036773"
"422","cg15219145"
"423","cg14419975"
"424","cg24633978"
"425","cg00741624"
"426","cg01400401"
"427","cg09410607"
"428","cg16038120"
"429","cg21585138"
"430","cg00745389"
"431","cg03671597"
"432","cg23619399"
"433","cg00976453"
"434","cg00346208"
"435","cg02093732"
"436","cg17694795"
"437","cg15415507"
"438","cg07570470"
"439","cg24719321"
"440","cg15834072"
"441","cg01244043"
"442","cg11131532"
"443","cg07102001"
"444","cg16664405"
"445","cg14323675"
"446","cg06335867"
"447","cg01263386"
"448","cg00116092"
"449","cg05099387"
"450","cg25549459"
"451","cg03650674"
"452","cg01777121"
"453","cg00253851"
"454","cg03484180"
"455","cg03437157"
"456","cg11215976"
"457","cg25682299"
"458","cg08482682"
"459","cg17816394"
"460","cg22335340"
"461","cg22557662"
"462","cg12299554"
"463","cg20941110"
"464","cg05553502"
"465","cg00988247"
"466","cg18954541"
"467","cg09553242"
"468","cg03036557"
"469","cg13654588"
"470","cg12788037"
"471","cg14556683"
"472","cg26614073"
"473","cg02548364"
"474","cg02898293"
"475","cg18715243"
"476","cg13914083"
"477","cg22158769"
"478","cg26153410"
"479","cg18815943"
"480","cg24671951"
"481","cg23956238"
"482","cg12541454"
"483","cg07163547"
"484","cg20659418"
"485","cg08572611"
"486","cg19702785"
"487","cg14556303"
"488","cg21781979"
"489","cg26351229"
"490","cg17977409"
"491","cg02355885"
"492","cg25657261"
"493","cg08578136"
"494","cg21635870"
"495","cg04474832"
"496","ch.2.105901354F"
"497","cg16391955"
"498","cg16181396"
"499","cg17939805"
"500","cg07647164"
"501","cg26513192"
"502","cg21727532"
"503","cg01641136"
"504","cg00310215"
"505","cg23005227"
"506","cg00751156"
"507","cg08913523"
"508","cg01449663"
"509","cg14228238"
"510","cg08550421"
"511","cg06544405"
"512","cg03337218"
"513","cg12307787"
"514","cg00105628"
"515","cg27150460"
"516","cg01894064"
"517","cg18212762"
"518","cg27147819"
"519","cg17592231"
"520","cg14021153"
"521","cg18057109"
"522","cg25478614"
"523","cg01720228"
"524","cg00194126"
"525","cg11642106"
"526","cg00662122"
"527","cg17538572"
"528","cg17775765"
"529","cg22162281"
"530","cg26612727"
"531","cg19798832"
"532","cg26095658"
"533","cg11561737"
"534","cg25994988"
"535","cg05575054"
"536","cg23763043"
"537","cg03553786"
"538","cg18667659"
"539","cg23571812"
"540","cg00544449"
"541","cg15201877"
"542","cg12457773"
"543","cg21901307"
"544","cg17885226"
"545","cg00554413"
"546","cg05167251"
"547","cg14844588"
"548","cg26954968"
"549","cg22512670"
"550","cg03399905"
"551","cg08578520"
"552","cg22680204"
"553","cg26685941"
"554","cg15149095"
"555","cg24987259"
"556","cg10247798"
"557","cg20822990"
"558","cg19991948"
"559","cg16703882"
"560","cg18635552"
"561","cg16936953"
"562","cg25078444"
"563","cg21657577"
"564","cg19399220"
"565","cg05380558"
"566","cg09029902"
"567","cg00753885"
"568","cg02544257"
"569","cg17380661"
"570","cg19410732"
"571","cg09861917"
"572","cg11693709"
"573","cg18101022"
"574","cg04908625"
"575","cg10442251"
"576","cg08258526"
"577","cg06225133"
"578","cg13072940"
"579","cg18297751"
"580","cg23917057"
"581","cg09295081"
"582","cg10501210"
"583","cg23091758"
